ID,AUTHOR_ID,LINK,CONTENT,ZAN,ZHUANFA,PINGLUN,TIME
35,1,https://www.facebook.com/watch/?v=306567111441255,There’s a temporary 37-mile highway made of ice that takes motorists across a frozen lake in the U.S…展开,53,1903,2,2022-01-21 05:24:33
36,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499574491536028,"The University of Michigan reached a $490 million settlement with more than 1,000 people who say they were sexually assaulted by sports doctor Robert E. Anderson. The settlement will be split among the victims, with $30 million set aside for future claims. Anderson worked at the university from 1966 until his retirement in 2003. He served as the university’s director of Health Service and a physician for multiple athletic teams. Many football players and other athletes have come forward to accuse Anderson of assaulting them. He died in 2008. #assault #sports #medicine #university #Michigan #cgtnamerica",141,9,3,2022-01-21 05:24:40
37,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499556944871116,"A Republican filibuster blocked a voting rights bill championed by Democrats from going forward in the U.S. Senate on Wednesday. The filibuster has been part of an established playbook for stalling civil rights legislation in the U.S. since the 1920s, yet American lawmakers are divided on changing Senate filibuster rules. So, what exactly is a filibuster?#CGTNAmerica",84,5,4,2022-01-21 05:24:47
38,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499554151538062,"Workers are removing a statute of Theodore Roosevelt from outside the American Museum of Natural History in New York City. The statue’s removal comes after decades of protests and criticisms arguing it symbolizes a legacy of museums upholding images of colonialism and racism, reports the New York Times. Last June the NYC Public Design Commission voted to remove Roosevelt and several city agencies approved the action. The sculpture in scheduled to leave in pieces throughout the week and head to its new home at the Theodore Roosevelt Presidential Library in North Dakota. #NYC #museum #teddyroosevelt #cgtnamerica",291,10,14,2022-01-21 05:24:54
39,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499550168205127,Amber hunters gather amber on the Baltic Sea coast in the town of Pionersky in Russia.The Baltic region is home to the one of the largest known deposits of amber in the world.   Vitaly Nevar/Reuters,478,12,0,2022-01-21 04:25:02
40,1,https://www.facebook.com/cgtneuropeofficial/posts/298984565595429,Amber hunters gather amber on the Baltic Sea coast in the town of Pionersky in Russia.The Baltic region is home to the one of the largest known deposits of amber in the world.   Vitaly Nevar/Reuters,44,23,4,2022-01-20 13:25:09
41,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499550001538477, Destructive fishing practises is decimating our marine forests. But there might still be hope…WATCH this video to find out more! Read more: https://newseu.cgtn.com/.../Restoring-the-UK-s.../index.html,56,5,0,2022-01-21 04:25:18
42,1,https://www.facebook.com/watch/?v=350763136571509, Destructive fishing practises is decimating our marine forests. But there might still be hope…WAT…展开,13,1372,6683,2022-01-21 04:25:24
43,1,https://www.facebook.com/ChinaGlobalTVNetwork/posts/499549414871869,"“To describe it: it looked like there was a war happening in the background,”What happened on Earth when the Tongan volcano erupted underwater? A woman who was on the phone with her family shares the dramatic moments of the eruption in the South Pacific.",38,4,0,2022-01-21 04:25:32
44,1,https://www.facebook.com/watch/?v=469723711275183,"“To describe it: it looked like there was a war happening in the background,”…展开",22,1272,6683,2022-01-21 04:25:38
